Group,Task,Date,Start,Finish,Minutes,Duration,Billing Rate,Gain,Notes
Open Source,Gitoxide,2021/04/03,1:51 PM,2:21 PM,30,00:30:00,¥0.00/h,-,Merge https://github.com/Byron/gitoxide/pull/60
Open Source,Gitoxide,2021/04/03,2:21 PM,3:14 PM,53,00:53:00,¥0.00/h,-,Dive into SHA1 and try to drive it forward.
Open Source,Gitoxide,2021/04/04,10:12 AM,11:37 AM,85,01:25:00,¥0.00/h,-,https://github.com/Byron/gitoxide/discussions/62
Open Source,Gitoxide,2021/04/04,2:14 PM,2:35 PM,21,00:21:00,¥0.00/h,-,Experiment with Result<Option<O>> - looks good
Open Source,Gitoxide,2021/04/04,5:49 PM,6:30 PM,41,00:41:00,¥0.00/h,-,https://github.com/users/Byron/projects/1#card-57932960
Open Source,Gitoxide,2021/04/04,6:45 PM,7:30 PM,45,00:45:00,¥0.00/h,-,stdarch
Open Source,Gitoxide,2021/04/04,8:37 PM,9:06 PM,29,00:29:00,¥0.00/h,-,Finish std-arch for the day
Open Source,Gitoxide,2021/04/04,9:16 PM,9:27 PM,11,00:11:00,¥0.00/h,-,"Check ASM-crates replies, take a moment to look at C based SHA1 intrinsics which can be ported to Rust if needed (similar to what was done with Sha256 already). Some intrinsics might be missing though but can be added to stdarch"
Open Source,Gitoxide,2021/04/04,9:28 PM,10:05 PM,37,00:37:00,¥0.00/h,-,parallel object access
Open Source,Gitoxide,2021/04/05,9:20 AM,9:46 AM,26,00:26:00,¥0.00/h,-,Parallel libgit2 object lookup
Open Source,Gitoxide,2021/04/05,9:47 AM,10:10 AM,23,00:23:00,¥0.00/h,-,More object access testing: libgit2 can only read the object size.
Open Source,Gitoxide,2021/04/05,11:25 AM,11:45 AM,20,00:20:00,¥0.00/h,-,prototype benchmark
Open Source,Gitoxide,2021/04/06,8:39 PM,9:02 PM,23,00:23:00,¥0.00/h,-,https://github.com/Byron/gitoxide/pull/65
Open Source,Gitoxide,2021/04/07,11:26 AM,1:17 PM,111,01:51:00,¥0.00/h,-,"stdarch PR, with interruptions"
Open Source,Gitoxide,2021/04/07,2:42 PM,3:16 PM,34,00:34:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/66; contribution guide
Open Source,Gitoxide,2021/04/07,4:21 PM,5:13 PM,52,00:52:00,¥0.00/h,-,Understand what has to be done about git-hash
Open Source,Gitoxide,2021/04/07,7:44 PM,9:24 PM,100,01:40:00,¥0.00/h,-,More of #63
Open Source,Gitoxide,2021/04/07,9:32 PM,9:53 PM,21,00:21:00,¥0.00/h,-,Experiment with properly referenced slice-like types
Open Source,Gitoxide,2021/04/07,10:19 PM,11:59 PM,101,01:41:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/08,12:00 AM,12:43 AM,43,00:43:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/08,9:45 AM,11:03 AM,78,01:18:00,¥0.00/h,-,Strides towards finishing oid refactoring
Open Source,Gitoxide,2021/04/08,7:42 PM,8:05 PM,23,00:23:00,¥0.00/h,-,#63
Open Source,Gitoxide,2021/04/08,8:53 PM,10:00 PM,67,01:07:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/09,9:54 AM,10:45 AM,51,00:51:00,¥0.00/h,-,try stdarch compile error reproduction
Open Source,Gitoxide,2021/04/09,3:45 PM,5:43 PM,118,01:58:00,¥0.00/h,-,make stdarch build again
Open Source,Gitoxide,2021/04/10,9:49 AM,10:34 AM,45,00:45:00,¥0.00/h,-,"Finish std-arch, stuck and demotivated "
Open Source,Gitoxide,2021/04/10,7:13 PM,7:35 PM,22,00:22:00,¥0.00/h,-,Start pack gen
Open Source,Gitoxide,2021/04/11,11:48 AM,12:16 PM,28,00:28:00,¥0.00/h,-,Pack gen research 
Open Source,Gitoxide,2021/04/11,10:13 PM,11:01 PM,48,00:48:00,¥0.00/h,-,Cache perf tests
Open Source,Gitoxide,2021/04/12,10:25 AM,10:34 AM,9,00:09:00,¥0.00/h,-,Try stdarch with latest nightly. https://github.com/rust-lang/stdarch/pull/1104#issuecomment-817437987
Open Source,Gitoxide,2021/04/12,12:35 PM,12:44 PM,9,00:09:00,¥0.00/h,-,stdarch; start pack cache lookup bugfix
Open Source,Gitoxide,2021/04/12,8:38 PM,9:58 PM,80,01:20:00,¥0.00/h,-,Fix lookup with cache; study how to get rid of polonius and remove it 
Open Source,Gitoxide,2021/04/13,7:30 PM,7:41 PM,11,00:11:00,¥0.00/h,-,stdarch conflict resolution
Open Source,Gitoxide,2021/04/13,7:42 PM,9:18 PM,96,01:36:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/66
Open Source,Gitoxide,2021/04/14,2:04 PM,2:13 PM,9,00:09:00,¥0.00/h,-,Setup appointment for radicle meeting
Open Source,Gitoxide,2021/04/15,5:02 PM,6:31 PM,89,01:29:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/67
Open Source,Gitoxide,2021/04/15,7:05 PM,7:28 PM,23,00:23:00,¥0.00/h,-,Radicle meeting prep
Open Source,Gitoxide,2021/04/15,7:28 PM,9:36 PM,128,02:08:00,¥0.00/h,-,Radicle Involvement Meeting
Open Source,Gitoxide,2021/04/16,6:06 PM,6:16 PM,10,00:10:00,¥0.00/h,-,https://github.com/Byron/gitoxide/discussions/70?converting=1
Open Source,Gitoxide,2021/04/16,6:17 PM,6:33 PM,16,00:16:00,¥0.00/h,-,https://github.com/rust-lang/stdarch/pull/1104#issuecomment-821082577
Open Source,Gitoxide,2021/04/17,11:12 AM,11:39 AM,27,00:27:00,¥0.00/h,-,https://github.com/rust-lang/stdarch/pull/1104#issuecomment-821759220
Open Source,Gitoxide,2021/04/17,2:03 PM,2:27 PM,24,00:24:00,¥0.00/h,-,https://github.com/rust-lang/stdarch/pull/1104#issuecomment-821775679
Open Source,Gitoxide,2021/04/17,3:01 PM,4:53 PM,112,01:52:00,¥0.00/h,-,Once more: https://github.com/rust-lang/stdarch/pull/1104#issuecomment-821787027
Open Source,Gitoxide,2021/04/17,7:28 PM,9:34 PM,126,02:06:00,¥0.00/h,-,"#67, with interruptions"
Open Source,Gitoxide,2021/04/18,11:01 AM,11:15 AM,14,00:14:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/18,12:57 PM,4:07 PM,190,03:10:00,¥0.00/h,-,#67 - parallel iterator
Open Source,Gitoxide,2021/04/18,5:11 PM,5:19 PM,8,00:08:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/18,5:41 PM,6:48 PM,67,01:07:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/18,8:51 PM,9:32 PM,41,00:41:00,¥0.00/h,-,"Learn more about deltification, window size and depth to get an idea how objects are usually iterated."
Open Source,Gitoxide,2021/04/19,8:19 AM,9:15 AM,56,00:56:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/19,9:35 AM,10:34 AM,59,00:59:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/19,10:48 AM,11:12 AM,24,00:24:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/19,12:59 PM,1:40 PM,41,00:41:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/19,2:54 PM,6:09 PM,195,03:15:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/19,7:09 PM,7:16 PM,7,00:07:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/20,10:55 AM,12:15 PM,80,01:20:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/20,1:45 PM,5:52 PM,247,04:07:00,¥0.00/h,-,various object refactorings to allow traits to be consistent.
Open Source,Gitoxide,2021/04/20,6:32 PM,7:37 PM,65,01:05:00,¥0.00/h,-,refactoring
Open Source,Gitoxide,2021/04/20,8:44 PM,9:40 PM,56,00:56:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/20,10:06 PM,10:29 PM,23,00:23:00,¥0.00/h,-,Sponsor update
Open Source,Gitoxide,2021/04/20,10:30 PM,10:35 PM,5,00:05:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/21,9:30 AM,11:30 AM,120,02:00:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/21,1:55 PM,2:59 PM,64,01:04:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/21,3:11 PM,3:20 PM,9,00:09:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/21,4:01 PM,4:09 PM,8,00:08:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/21,4:46 PM,5:40 PM,54,00:54:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/21,6:50 PM,8:21 PM,91,01:31:00,¥0.00/h,-,https://github.com/Byron/gitoxide/discussions/62#discussioncomment-639683
Open Source,Gitoxide,2021/04/22,10:38 AM,10:54 AM,16,00:16:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/22,1:04 PM,2:12 PM,68,01:08:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/22,2:30 PM,2:49 PM,19,00:19:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/22,3:21 PM,4:28 PM,67,01:07:00,¥0.00/h,-,pack entry access
Open Source,Gitoxide,2021/04/22,4:55 PM,5:30 PM,35,00:35:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/22,6:02 PM,6:17 PM,15,00:15:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/22,9:17 PM,10:18 PM,61,01:01:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/23,3:30 PM,4:19 PM,49,00:49:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/24,10:06 AM,10:16 AM,10,00:10:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/24,11:31 AM,12:15 PM,44,00:44:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/24,1:31 PM,3:15 PM,104,01:44:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/24,5:31 PM,6:01 PM,30,00:30:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/24,7:00 PM,7:12 PM,12,00:12:00,¥0.00/h,-,https://github.com/RustCrypto/hashes/issues/251
Open Source,Gitoxide,2021/04/25,8:39 AM,8:55 AM,16,00:16:00,¥0.00/h,-,Status update
Open Source,Gitoxide,2021/04/25,8:56 AM,9:27 AM,31,00:31:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/25,10:22 AM,10:42 AM,20,00:20:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/25,11:04 AM,12:10 PM,66,01:06:00,¥0.00/h,-,The first version of pack data writing (in a streaming fashion)
Open Source,Gitoxide,2021/04/25,1:23 PM,1:42 PM,19,00:19:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/25,2:27 PM,3:07 PM,40,00:40:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/25,3:35 PM,4:23 PM,48,00:48:00,¥0.00/h,-,first working version of pack writing
Open Source,Gitoxide,2021/04/25,4:42 PM,5:23 PM,41,00:41:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/25,6:47 PM,8:28 PM,101,01:41:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/25,8:36 PM,9:30 PM,54,00:54:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/26,9:05 AM,9:07 AM,2,00:02:00,¥0.00/h,-,https://github.com/RustCrypto/hashes/issues/257
Open Source,Gitoxide,2021/04/26,9:39 AM,10:22 AM,43,00:43:00,¥0.00/h,-,prep git-diff
Open Source,Gitoxide,2021/04/26,10:37 AM,11:35 AM,58,00:58:00,¥0.00/h,-,research tree diff
Open Source,Gitoxide,2021/04/26,1:33 PM,1:53 PM,20,00:20:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/26,3:27 PM,3:50 PM,23,00:23:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/26,8:49 PM,10:23 PM,94,01:34:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/27,6:42 AM,7:10 AM,28,00:28:00,¥0.00/h,-,Pack v3 conversation; System update; diff API improvements 
Open Source,Gitoxide,2021/04/27,8:20 AM,10:28 AM,128,02:08:00,¥0.00/h,-,tree diff api
Open Source,Gitoxide,2021/04/27,11:00 AM,12:07 PM,67,01:07:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/27,2:00 PM,2:57 PM,57,00:57:00,¥0.00/h,-,First succeeding test
Open Source,Gitoxide,2021/04/27,3:30 PM,4:53 PM,83,01:23:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/27,5:00 PM,9:00 PM,240,04:00:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,5:56 AM,6:23 AM,27,00:27:00,¥0.00/h,-,https://github.com/tailhook/quick-error/pull/56
Open Source,Gitoxide,2021/04/28,6:23 AM,6:24 AM,1,00:01:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,6:28 AM,8:14 AM,106,01:46:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,8:50 AM,11:07 AM,137,02:17:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,11:21 AM,11:51 AM,30,00:30:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,1:30 PM,3:44 PM,134,02:14:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,4:01 PM,5:17 PM,76,01:16:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/28,9:20 PM,10:33 PM,73,01:13:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/29,6:45 AM,8:05 AM,80,01:20:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/29,8:42 AM,11:55 AM,193,03:13:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/29,4:02 PM,5:53 PM,111,01:51:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/30,9:58 AM,10:08 AM,10,00:10:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/30,10:54 AM,11:34 AM,40,00:40:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/30,12:44 PM,1:49 PM,65,01:05:00,¥0.00/h,-,
Open Source,Gitoxide,2021/04/30,2:20 PM,2:47 PM,27,00:27:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/01,10:33 PM,11:10 PM,37,00:37:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/02,7:46 PM,9:19 PM,93,01:33:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/02,9:19 PM,10:33 PM,74,01:14:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/03,11:40 AM,11:47 AM,7,00:07:00,¥0.00/h,-,
